$./run.sh train
23:36:38 TensorFlowVersion: 2.15.0
23:36:38 creating model ...
23:36:38 start training ...
Epoch: 1, loss: 172.0128936767578, elapsed: 8.761337518692017
Epoch: 2, loss: 164.4097900390625, elapsed: 5.734392166137695
Epoch: 3, loss: 160.1234588623047, elapsed: 5.716974496841431
Epoch: 4, loss: 157.67654418945312, elapsed: 5.887912750244141
Epoch: 5, loss: 156.37619018554688, elapsed: 5.673092365264893
Epoch: 6, loss: 155.4962615966797, elapsed: 5.674609899520874
Epoch: 7, loss: 154.29010009765625, elapsed: 5.655594825744629
Epoch: 8, loss: 153.83718872070312, elapsed: 5.61859130859375
Epoch: 9, loss: 152.9998321533203, elapsed: 5.6674065589904785
Epoch: 10, loss: 152.76869201660156, elapsed: 6.1445472240448
Epoch: 11, loss: 152.04962158203125, elapsed: 5.752487897872925
Epoch: 12, loss: 152.3158416748047, elapsed: 6.09129786491394
Epoch: 13, loss: 151.52175903320312, elapsed: 5.709480047225952
Epoch: 14, loss: 151.6160430908203, elapsed: 10.223809242248535
Epoch: 15, loss: 151.38575744628906, elapsed: 5.6926589012146
Epoch: 16, loss: 151.11756896972656, elapsed: 5.684001445770264
Epoch: 17, loss: 151.08961486816406, elapsed: 5.681311845779419
Epoch: 18, loss: 150.3646697998047, elapsed: 5.683213710784912
Epoch: 19, loss: 150.4727783203125, elapsed: 5.693547487258911
Epoch: 20, loss: 150.86451721191406, elapsed: 5.708467483520508
23:39:52 training finished

